종목코드,신호,페이즈,현재가($),전일대비%,평단가($),LOC평단매수($),LOC큰수매수($),매도목표1($),매도목표2($),보유수량,총투자액($),평가액($),수익률%,수익금($),T값,잔여시드($),RSI,MA5($),MA20($),거래량,추천요약,데이터일자
TQQQ,🟢 진입,대기,75.73,4.14,0.0,75.73,83.3,-,-,0.0,0.0,0,0,0,0/40,4000.0,50.0,74.09,76.47,"32,025,594",🟢 1회차 진입 신호! RSI=49.96 | 시장가 매수 추천 ($100),2026-07-09
SOXL,🟢 진입,대기,199.7,14.23,0.0,199.7,219.67,-,-,0.0,0.0,0,0,0,0/40,4000.0,48.2,183.18,225.89,"33,783,702",🟢 1회차 진입 신호! RSI=48.21 | 시장가 매수 추천 ($100),2026-07-09
